Team,Player,Position,MIN,OnBall_pct,DPM,ODPM,DDPM,PTS,AST,REB,TS_pct,TOV,TwoP_pct,ThreeP_pct,ThreePA,FT_pct,FTA,OREB,DREB,STL,BLK
WAS,Tristan Vukcevic,PF,394,,0.0,0.0,0.0,10.2,0.0,7.5,,1.1,,,2.5,,57.5,0.2,1.2,12.3,59.5
WAS,Marvin Bagley III,PF,731,,-0.2,-0.2,0.0,9.1,0.0,10.1,,1.5,,,5.7,,66.4,8.7,1.2,10.8,64.3
WAS,Justin Champagnie,SG,965,,-0.2,-0.1,-0.1,6.9,0.1,7.8,,1.1,,,5.8,,58.8,1.1,0.6,7.5,60.3
WAS,Khris Middleton,SF,827,,-1.0,-0.6,-0.4,14.2,0.4,10.3,,3.3,,,3.9,,52.9,4.8,1.7,10.9,48.3
WAS,Kyshawn George,SF,1296,,-1.1,-1.1,0.0,22.6,0.0,15.1,,4.8,,,5.4,,56.1,1.6,2.8,12.1,49.5
WAS,Corey Kispert,SG,465,,-1.1,0.1,-1.3,7.4,1.3,9.0,,1.6,,,2.3,,62.8,5.0,0.8,8.2,64.3
WAS,Bilal Coulibaly,SG,884,,-1.3,-1.6,0.3,16.2,0.3,9.8,,2.5,,,4.4,,50.7,7.0,1.5,10.9,48.7
WAS,Jamir Watkins,SG,492,,-1.4,-1.4,0.0,5.2,0.0,5.0,,0.8,,,3.6,,49.3,8.4,0.6,9.4,58.9
WAS,Alex Sarr,C,1156,,-1.6,-0.6,-1.1,13.9,1.1,17.1,,2.8,,,7.8,,55.5,2.2,1.7,8.0,53.7
WAS,Malaki Branham,SG,275,,-1.7,-0.9,-0.8,15.0,0.8,4.6,,0.8,,,1.6,,59.3,1.6,0.5,9.9,53.7
WAS,Anthony Gill,PF,225,,-1.8,-2.4,0.7,5.7,0.7,2.4,,0.3,,,1.7,,62.3,4.6,0.4,13.9,62.9
WAS,Sharife Cooper,PG,171,,-2.0,-1.1,-0.8,44.0,0.8,5.8,,1.9,,,2.3,,63.6,6.0,1.5,17.1,57.6
WAS,Cam Whitmore,SF,354,,-2.0,-0.8,-1.1,11.2,1.1,9.2,,0.7,,,2.8,,53.3,4.4,0.9,8.1,54.0
WAS,Tre Johnson,SG,999,,-2.3,-0.6,-1.7,11.7,1.7,12.9,,2.1,,,2.7,,56.7,1.0,1.4,8.9,49.8
WAS,Will Riley,SF,747,,-2.9,-1.8,-1.1,12.5,1.1,7.0,,1.4,,,2.2,,51.7,6.0,0.9,9.5,47.0
WAS,Bub Carrington,PG,1483,,-4.1,-2.1,-2.0,29.9,2.0,10.2,,4.6,,,3.5,,54.3,3.3,2.4,13.8,41.6
